query,position,impressions,clicks,ctr
limon fiyatları,5.845804051260852,4838,94,0.019429516329061595
adana limon fiyatları,7.799000681353623,4403,28,0.006359300476947536
mersin limon fiyatları,6.544122046066407,3343,32,0.009572240502542627
ankara hal fiyatları,4.665548473666554,2981,53,0.01777926870177793
kayseri hal fiyatları,6.216392020815264,2306,33,0.014310494362532523
mersin hal fiyatları,8.46123842028279,2051,52,0.025353486104339348
salçalık domates fiyatları,7.926695842450766,1828,37,0.02024070021881838
mandalina fiyatları,5.210803689064559,1518,16,0.010540184453227932
erdemli limon piyasası,7.040345821325649,1388,9,0.006484149855907781
denizli hal fiyatları,3.2136498516320473,1348,39,0.028931750741839762
nar fiyatları,5.963846153846154,1300,17,0.013076923076923076
kuru üzüm fiyatları 2026,7.604344453064391,1289,16,0.012412723041117145
ankara hal fiyatları bugün,5.402936378466558,1226,26,0.021207177814029365
kekik fiyatları,6.622994652406417,1122,8,0.0071301247771836
nar fiyatları 2026,4.2609472743521,1119,33,0.029490616621983913
kocaeli hal fiyatları,3.8728270814272645,1093,18,0.01646843549862763
2026 kuru üzüm fiyatları,7.774288518155054,1019,6,0.005888125613346418
izmir hal fiyatları,8.341999999999999,1000,5,0.005
erdemli limon fiyatları,5.711675126903553,985,22,0.02233502538071066
salçalık domates fiyatı,8.436159346271705,979,14,0.014300306435137897
adana limon piyasası,8.528077753779698,926,5,0.005399568034557235
ankara hal,7.359897172236503,778,10,0.012853470437017995
adana mandalina fiyatları,8.067885117493471,766,2,0.0026109660574412533
limon fiyatları adana,8.244736842105263,760,11,0.014473684210526316
domates fiyatı,9.533685601056803,757,13,0.017173051519154558
mandalina piyasası,6.601851851851852,756,5,0.006613756613756613
2026 kekik fiyatları,5.991279069767442,688,3,0.00436046511627907
elma fiyatları,8.784732824427481,655,10,0.015267175572519083
ibb hal fiyatları,7.264026402640264,606,7,0.01155115511551155
nar piyasası,4.859180035650624,561,5,0.008912655971479501
limon fiyatları 2026,5.756756756756757,555,13,0.023423423423423424
böğürtlen kilosu kaç tl,6.6954954954954955,555,7,0.012612612612612612
barbunya fiyatı,8.92952380952381,525,11,0.02095238095238095
mayer limon fiyatı,6.705533596837944,506,6,0.011857707509881422
mısır fiyatı 2026,9.493041749502982,503,3,0.005964214711729622
limon piyasası adana,8.818965517241379,464,2,0.004310344827586207
böğürtlen fiyat,6.889130434782609,460,6,0.013043478260869565
incir fiyatı 2026,5.513274336283186,452,10,0.022123893805309734
kızılcık fiyatı,5.469798657718121,447,11,0.024608501118568233
k maraş hal fiyatları,3.3793103448275863,435,12,0.027586206896551724
2026 incir fiyatları,5.530232558139535,430,11,0.02558139534883721
elazığ sebze hali,7.753554502369668,422,7,0.016587677725118485
mersin limon piyasası,6.503597122302159,417,2,0.004796163069544364
nevşehir patates fiyatları,7.5675675675675675,407,11,0.02702702702702703
kuru soğan hal fiyatları,9.348258706467663,402,9,0.022388059701492536
2026 limon fiyatları,5.444444444444445,387,4,0.0103359173126615
adana sebze hali,7.639686684073107,383,2,0.005221932114882507
kekik fiyatları 2026,5.173913043478261,368,10,0.02717391304347826
adana hal,6.520435967302452,367,1,0.0027247956403269754
patlıcan fiyatı,7.487603305785124,363,2,0.005509641873278237
pazarda taze fasulye fiyatı,5.274285714285714,350,0,0
çorum soğan fiyatları bugun,8.770773638968482,349,0,0
limonun kilosu ne kadar,7.974137931034483,348,2,0.005747126436781609
gaziantep sebze hali,9.780058651026392,341,6,0.017595307917888565
bursa domates fiyatları,6.696165191740413,339,9,0.02654867256637168
halgovtr,5.816568047337278,338,1,0.0029585798816568047
incir fiyatları 2026,4.1880877742946705,319,7,0.0219435736677116
izmir hal fiyatları bugün,9.317610062893081,318,5,0.015723270440251572
hal fiyatları kayseri,4.849056603773585,318,3,0.009433962264150943
sivas hal,5.886792452830188,318,1,0.0031446540880503146
osmaniye sebze hali,9.230283911671924,317,2,0.006309148264984227
yaş üzüm fiyatı,5.810126582278481,316,6,0.0189873417721519
izmit hal fiyatları,4.194888178913738,313,3,0.009584664536741214
