document,id,status,disposition,evidence
HALDEFIYAT-VERI-VE-EDITORIAL-CHECKLIST-2026-09-06.md,A11,~,real_cron_observation_required,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-VERI-VE-EDITORIAL-CHECKLIST-2026-09-06.md,C3,~,owner_operation_or_real_business_evidence,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-VERI-VE-EDITORIAL-CHECKLIST-2026-09-06.md,C4,~,calendar_observation_required,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-VERI-VE-EDITORIAL-CHECKLIST-2026-09-06.md,C5,~,owner_operation_or_real_business_evidence,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-VERI-VE-EDITORIAL-CHECKLIST-2026-09-06.md,C6,~,calendar_observation_required,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-VERI-VE-EDITORIAL-CHECKLIST-2026-09-06.md,C7,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-VERI-VE-EDITORIAL-CHECKLIST-2026-09-06.md,D3,~,owner_operation_or_real_business_evidence,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-VERI-VE-EDITORIAL-CHECKLIST-2026-09-06.md,D4,~,owner_operation_or_real_business_evidence,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-VERI-VE-EDITORIAL-CHECKLIST-2026-09-06.md,D5,~,owner_operation_or_real_business_evidence,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,F0.23,~,performance_acceptance_open,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,F0.24,~,performance_acceptance_open,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,F0.25,~,physical_device_required,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,F1.38,~,owner_operation_or_real_business_evidence,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,G1.5,~,owner_operation_or_real_business_evidence,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,F7.8,~,physical_device_required,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,F7.10,~,physical_device_required,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,F7.19,~,performance_acceptance_open,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,F9.5,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,F10.4,~,owner_operation_or_real_business_evidence,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,F10.5,~,owner_operation_or_real_business_evidence,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,F10.6,~,owner_operation_or_real_business_evidence,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,F10.7,~,owner_operation_or_real_business_evidence,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,D14,~,performance_acceptance_open,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,D15,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,E9,~,licence_provenance_required,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,E14,~,other_work_preserved,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,E42,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,S3,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,S4,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,S14,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,S6,~,calendar_observation_required,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,S7,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,S9, ,owner_operation_or_real_business_evidence,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,S10, ,owner_operation_or_real_business_evidence,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,S13, ,calendar_observation_required,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,S20,~,official_source_or_series_gate,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,S25, ,owner_operation_or_real_business_evidence,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,S28,~,performance_acceptance_open,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,S24, ,calendar_observation_required,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,S29,~,owner_operation_or_real_business_evidence,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,A1.1,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,A1.4,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,A3.2,-,alternative_not_needed,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,A4.1, ,owner_operation_or_real_business_evidence,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,A4.2, ,owner_operation_or_real_business_evidence,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,A4.3, ,owner_operation_or_real_business_evidence,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,A5.1,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,A5.2,x,completed_verified,artifacts/checklist-closeout-2026-09-08/README.md
