kind,platform,handle,query,position,title,url
group,facebook,limonpiyasasi,limon fiyatları,2,Limon Piyasası,https://www.facebook.com/groups/limonpiyasasi/?locale=tr_TR
group,facebook,limonpiyasasi,limon piyasası,2,Limon Piyasası,https://www.facebook.com/groups/limonpiyasasi/?locale=tr_TR
group,facebook,804423103237700,adana limon fiyatları,3,KOZAN LİMON PİYASASI 🍋🍋🍋🍋🍋,https://www.facebook.com/groups/804423103237700/?locale=tr_TR
group,facebook,1700980530222589,erdemli limon fiyatları,3,Erdemli limon piyasası,https://www.facebook.com/groups/1700980530222589/
group,facebook,1700980530222589,limon piyasası,3,Erdemli limon piyasası,https://www.facebook.com/groups/1700980530222589/
account,facebook,halkompleksi33,mersin hal fiyatları,4,Mersin Hal Kompleksi Sebze Meyve,https://www.facebook.com/halkompleksi33/?locale=tr_TR
group,facebook,1700980530222589,mersin limon fiyatları,4,Erdemli limon piyasası,https://www.facebook.com/groups/1700980530222589/
group,facebook,284617449472212,salçalık domates fiyatları,4,BURSA SALÇALIK DOMATES VE BİBER,https://www.facebook.com/groups/284617449472212/?locale=tr_TR
group,facebook,limonpiyasasi,adana limon fiyatları,5,Limon Piyasası,https://www.facebook.com/groups/limonpiyasasi/?locale=tr_TR
content,facebook,,erdemli limon fiyatları,5,Erdemli Narenciye Ve Limon Piyasası,https://www.facebook.com/p/Erdemli-Narenciye-Ve-Limon-Piyasas%C4%B1-100064504607709/
group,facebook,1635106763482179,istanbul sebze hali fiyatları,5,İSTANBUL BAYRAMPAŞA MEYVE SEBZE HALİ ...,https://www.facebook.com/groups/1635106763482179/?locale=tr_TR
group,facebook,1706357779585340,kayseri hal fiyatları,5,KAYSERİ HAL KOMPLEKSİ,https://www.facebook.com/groups/1706357779585340/?locale=tr_TR
group,facebook,limonpiyasasi,mersin limon fiyatları,5,Limon Piyasası,https://www.facebook.com/groups/limonpiyasasi/?locale=tr_TR
group,facebook,176299223682564,üzüm fiyatları,5,Kuru Üzüm Borsası,https://www.facebook.com/groups/176299223682564/?locale=tr_TR
content,youtube,,ankara hal fiyatları bugün,9,ANKARA TOPTANCI HALİ 18 OCAK 2025 | Sebze ve Meyve Fiyatları - YouTube,https://www.youtube.com/watch?v=upbaj8zuNOE
account,instagram,limon.33.fiyatlari,erdemli limon fiyatları,10,Limon fiyatları erdemli (@limon.33.fiyatlari),https://www.instagram.com/limon.33.fiyatlari/
group,facebook,1635106763482179,bayrampaşa meyve sebze hali fiyat listesi,11,İSTANBUL BAYRAMPAŞA MEYVE SEBZE HALİ ...,https://www.facebook.com/groups/1635106763482179/
group,facebook,1700980530222589,limon fiyatları,12,Erdemli limon piyasası,https://www.facebook.com/groups/1700980530222589/
content,instagram,medyaankaracom,ankara hal fiyatları bugün,13,"Medya Ankara on Instagram: ""Ankara Balık Hali'nde balık ...",https://www.instagram.com/medyaankaracom/reel/DC4ODptvPvf/
account,facebook,gaziantephalicenter,gaziantep hal fiyatları,15,Gaziantep Halı Center,https://www.facebook.com/gaziantephalicenter/?locale=tr_TR
content,instagram,,mersin hal fiyatları,15,🍅 Mersin Hal Fiyatları 15 Mart 2026 Pazar Açıklandı ...,https://www.instagram.com/p/DV5ubZODaDI/
content,facebook,merhabagazetesi,konya hal fiyatları,17,Konya Sebze Meyve Hali Fiyat Listesi'ne göre ürünlerin ...,https://www.facebook.com/merhabagazetesi/posts/konya-sebze-meyve-hali-fiyat-listesine-g%C3%B6re-%C3%BCr%C3%BCnlerin-fiyatlar%C4%B1-pahal%C4%B1l%C4%B1%C4%9F%C4%B1-g%C3%B6zle/1505801707573747/
content,facebook,,mersin limon fiyatları,17,Erdemli Narenciye Ve Limon Piyasası,https://www.facebook.com/p/Erdemli-Narenciye-Ve-Limon-Piyasas%C4%B1-100064504607709/
content,facebook,marasanahaber,kahramanmaraş hal fiyatları,18,Kahramanmaraş'ta Meyve ve Sebze Hali'nde domatesin kg ...,https://www.facebook.com/marasanahaber/posts/kahramanmara%C5%9Fta-meyve-ve-sebze-halinde-domatesin-kg-fiyat%C4%B1-2-3-lira-aras%C4%B1nda-de%C4%9F/1169676001869633/
group,facebook,458124077678681,mersin limon fiyatları,18,Silifke Limon Piyasası,https://www.facebook.com/groups/458124077678681/
group,facebook,804423103237700,adana mayer limon fiyatları,19,KOZAN LİMON PİYASASI 🍋🍋🍋🍋🍋,https://www.facebook.com/groups/804423103237700/?locale=tr_TR
group,facebook,1635106763482179,bayrampaşa hal fiyatları,20,İSTANBUL BAYRAMPAŞA MEYVE SEBZE HALİ ...,https://www.facebook.com/groups/1635106763482179/?locale=tr_TR
