domain,query,sample_competitor_position,sample_our_position,ahead_in_sample,competitor_url,our_gsc_position,our_gsc_impressions,target_path,action
a101.com.tr,limon fiyatları,15,5,False,https://www.a101.com.tr/kapida/meyve-sebze/limon-kg_p-20000800,5.85,4838,/urun/limon,"Çeşit, hal/bahçe ayrımı, kaynaklı tablo ve ilgili Mayer/yerel piyasa bağlantılarını güçlendir."
a101.com.tr,limon piyasası,12,6,False,https://www.a101.com.tr/kapida/meyve-sebze/limon-kg_p-20000800,5.64,4118,/urun/limon,"Çeşit, hal/bahçe ayrımı, kaynaklı tablo ve ilgili Mayer/yerel piyasa bağlantılarını güçlendir."
a101.com.tr,patates fiyatları,9,4,False,https://www.a101.com.tr/kapida/meyve-sebze/patates-kg_p-20000794,7.14,2639,/urun/patates,Mevcut açılış sayfasında niyet ve veri kapsamı incelemesi.
a101.com.tr,soğan fiyatları,5,4,False,https://www.a101.com.tr/kapida/meyve-sebze/sogan-kg_p-20000796,5.73,1212,/urun/sogan-kuru,Mevcut açılış sayfasında niyet ve veri kapsamı incelemesi.
aa.com.tr,limon piyasası,14,6,False,https://www.aa.com.tr/tr/ekonomi/turfanda-limon-hasadiyla-fiyatlarin-dengelenmesi-ongoruluyor/3266856,5.64,4118,/urun/limon,"Çeşit, hal/bahçe ayrımı, kaynaklı tablo ve ilgili Mayer/yerel piyasa bağlantılarını güçlendir."
aa.com.tr,soğan fiyatları,18,4,False,https://www.aa.com.tr/tr/ekonomi/kuru-sogan-fiyatlari-onumuzdeki-hafta-dususe-gececek/1189527,5.73,1212,/urun/sogan-kuru,Mevcut açılış sayfasında niyet ve veri kapsamı incelemesi.
acikveri.kayseri.bel.tr,kayseri hal fiyatları,15,8,False,https://acikveri.kayseri.bel.tr/veri-seti/kayseri-hal-fiyat-listesi/9,6.22,2306,/hal/kayseri-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
acikveri.konya.bel.tr,konya hal fiyatları,6,18,True,https://acikveri.konya.bel.tr/dataset/?tags=hal+fiyatlar%C4%B1,2.74,1949,/hal/konya-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
acikyesil.bursa.bel.tr,bursa hal fiyatları,3,11,True,https://acikyesil.bursa.bel.tr/dataset/hal-fiyatlari/resource/23e05731-cddc-4d7d-a01b-c64b5c3b3f9b,2.85,1866,/hal/bursa-hal,"Google mevcut hedefini kontrol et; veri tarihi, liste sırası ve sorguya uygun açıklamayı güçlendir."
adana.bel.tr,adana limon fiyatları,9,6,False,https://www.adana.bel.tr/tr/hal-fiyat-listesi,7.8,4403,/urun/limon,Adana resmi veri akışını doğrula/onar; genel fiyatı Adana fiyatı diye sunma; yerel sayfa veri kapısı sonrası.
