domain,kind,queries,sample_average_position,ahead_queries,our_gsc_impressions_on_shared_queries,sample_url
harmanapps.com,diger,28,3.57,24,58868,https://harmanapps.com/hal-borsa-fiyatlari/mersin
hal.gov.tr,resmi,17,6.0,12,33213,http://www.hal.gov.tr/Sayfalar/FiyatDetaylari.aspx
tarimziraat.com,diger,15,5.67,12,31893,"https://www.tarimziraat.com/fiyat/mersin_limon_fiyatlari-b33,30.html"
cimri.com,diger,11,9.45,3,24277,"https://www.cimri.com/market/meyve/en-ucuz-nar-fiyatlari,116746"
halfiyatlari.tr,diger,10,4.3,8,14478,https://halfiyatlari.tr/kocaeli/
tarim.ibb.istanbul,resmi,10,4.5,7,20657,https://tarim.ibb.istanbul/avrupa-yakasi-hal-mudurlugu/hal-fiyatlari.html
batiakdeniztv.com,diger,10,9.1,5,21701,https://www.batiakdeniztv.com/mersin-hal-fiyatlari
akakce.com,diger,9,6.22,5,18852,https://www.akakce.com/sebze/patatesler.html
kayseri.bel.tr,resmi,9,12.11,4,16755,https://www.kayseri.bel.tr/hal-fiyatlari
migros.com.tr,diger,8,10.25,2,19918,https://www.migros.com.tr/domates-tarla-rio-salcalik-kg-p-1ac7787
ankara.bel.tr,resmi,7,8.71,4,12158,https://www.ankara.bel.tr/hal-fiyatlari
guncelfiyatlari.com,diger,6,14.33,2,13468,https://www.guncelfiyatlari.com/istanbul-hal-fiyatlari/
konya.bel.tr,resmi,5,7.4,3,10710,https://www.konya.bel.tr/hal-fiyatlari
carrefoursa.com,diger,5,11.2,2,8156,https://www.carrefoursa.com/nar-kg-p-30054444
hepsiburada.com,diger,5,11.2,2,10946,https://www.hepsiburada.com/meyveler-c-60006235?filtreler=turu:Nar
bbc.com,diger,4,7.25,1,13657,https://www.bbc.com/turkce/articles/c623l9n3zr9o
emlakkulisi.com,diger,4,8.25,2,6005,https://emlakkulisi.com/guncel/ankara-hali-sebze-fiyat-listesi/1927437
bizdekalmasin.com,diger,4,10.0,3,6243,https://www.bizdekalmasin.com/fiyatlari/bursa-hal-fiyatlari/
a101.com.tr,diger,4,10.25,0,12807,https://www.a101.com.tr/kapida/meyve-sebze/sogan-kg_p-20000796
eislem.izmir.bel.tr,resmi,4,10.5,2,7541,https://eislem.izmir.bel.tr/tr/HalFiyatlari/20
mersin.bel.tr,resmi,4,11.0,1,9308,https://www.mersin.bel.tr/hal-fiyatlari
denizli.bel.tr,resmi,4,11.5,2,7561,https://www.denizli.bel.tr/Default.aspx?k=halfiyatlari
tarimorman.gov.tr,resmi,4,16.0,1,5868,https://www.tarimorman.gov.tr/Haber/6738/Tmonun-Cekirdeksiz-Kuru-Uzum-Alim-Fiyati-120-Lira-Olarak-Belirlendi
adana.bel.tr,resmi,4,16.5,0,9554,https://www.adana.bel.tr/tr/hal-fiyat-listesi
adatarimurunleri.com.tr,diger,3,5.33,2,4208,https://www.adatarimurunleri.com.tr/istanbul-bayrampasa-hal-fiyatlari/
okatalog.com,diger,3,9.0,0,2980,https://www.okatalog.com/bim-nar-aktuel
kurumsal.trabzon.bel.tr,resmi,3,11.0,2,5163,https://kurumsal.trabzon.bel.tr/halurunfiyatlari
dokuz8haber.net,diger,3,11.33,1,4208,https://dokuz8haber.net/istanbul-hal-fiyatlari
ispark.istanbul,diger,3,11.33,2,4208,https://ispark.istanbul/park/489CC7A9-4855-4088-A2CF-C41C3CD24B2B
t24.com.tr,diger,3,13.67,0,11864,"https://t24.com.tr/ekonomi/ureticiden-limon-tepkisi-tarlada-1-tl-olan-urun-tarim-kredi-marketinde-5-9-lira,983603"
sahibinden.com,diger,3,16.67,0,7362,https://www.sahibinden.com/meyve
tekirdag.bel.tr,resmi,3,16.67,1,5163,https://www.tekirdag.bel.tr/hal_fiyat_gunluk
itb.org.tr,diger,2,4.0,1,1740,https://itb.org.tr/UzumSalonu
sektorgazetesi.com.tr,diger,2,4.0,0,1861,https://www.sektorgazetesi.com.tr/taris-kuru-uzum-fiyatini-acikladi-iste-2026-sezonunun-avans-fiyati
tarim.com.tr,diger,2,5.5,2,2959,https://www.tarim.com.tr/Hal-Fiyatlari.aspx?Ara=%7Cil%7CKocaeli-Hali%7Cilid%7C14
kayserihal.tr,diger,2,6.0,2,4134,https://kayserihal.tr/fiyat-listesi
kocaeli.bel.tr,resmi,2,6.0,2,4232,https://www.kocaeli.bel.tr/hal-fiyatlari/
iha.com.tr,diger,2,7.0,1,5761,https://www.iha.com.tr/adana-haberleri/limon-bahcede-8-market-ve-pazarda-25-lira-118831865
eleman.net,diger,2,8.5,0,7180,https://www.eleman.net/is-rehberi/maaslar-ve-ucretler/meyve-sebze-istanbul-hal-fiyatlari-h20697
gazetevatan.com,diger,2,8.5,0,5245,https://www.gazetevatan.com/sehirler/manisa/kuru-uzum-fiyati-belli-oldu-alimlar-10-eylulde-basliyor-2403375
karekod.org,diger,2,8.5,1,3802,https://www.karekod.org/blog/bursa-hal-fiyatlari/
ozgurleblebi.com,diger,2,8.5,1,1740,https://www.ozgurleblebi.com/Kuru-uzum
parkera.org,diger,2,8.5,2,3185,https://parkera.org/bayrampasa_sebze-meyve_hali?ln=tr
turkhavadis.com,diger,2,8.5,1,3756,https://www.turkhavadis.com/ankara-halde-meyve-fiyatlari-aciklandi-cilek-ve-kestane-zirvede
balikesirposta.com.tr,diger,2,9.0,1,5761,https://www.balikesirposta.com.tr/adana-da-limonun-fiyatini-dusurecek-hasat-basladi-44431.html
halfiyatlari.biz,diger,2,9.0,1,3672,https://halfiyatlari.biz/bayrampasa-hal-fiyatlari/
ntv.com.tr,diger,2,9.5,1,5171,"https://www.ntv.com.tr/ntvpara/salcalik-domates-fiyatlari-artti,r0cJhWj5uEaFJIFT6MQ9wQ"
bursa.bel.tr,resmi,2,10.0,2,3115,https://www.bursa.bel.tr/hal_fiyatlari
cumhuriyet.com.tr,diger,2,11.0,1,5761,https://www.cumhuriyet.com.tr/ekonomi/adanada-limonun-fiyatini-dusurecek-hasat-basladi-2234480
haberler.com,diger,2,12.5,1,5476,https://www.haberler.com/ekonomi/adana-da-limon-fiyatlari-curume-nedeniyle-yukseldi-17475317-haberi/
halderistanbul.org,diger,2,13.5,0,8093,https://halderistanbul.org/
halfiyatlari.co,diger,2,13.5,1,2441,https://halfiyatlari.co/denizli-hal-fiyatlari
hurriyet.com.tr,diger,2,13.5,0,4505,https://www.hurriyet.com.tr/haberleri/patates-fiyatlari
