page,previous_clicks,current_clicks,delta,previous_impressions,current_impressions,previous_position,current_position
https://haldefiyat.com/hal/istanbul-hal-ibb,548,382,-166,9103,6661,4.968801494012963,5.0777661011860085
https://haldefiyat.com/hal/kahramanmaras-hal,175,116,-59,2717,1976,4.596613912403386,4.393218623481781
https://haldefiyat.com/urun/sogan-kuru,178,141,-37,3349,2746,5.644072857569424,5.821922796795339
https://haldefiyat.com/,145,109,-36,6419,4255,8.46549306745599,7.878965922444183
https://haldefiyat.com/urun/domates-salcalik,66,31,-35,3037,1664,6.978268027658874,7.1514423076923075
https://haldefiyat.com/urun/incir-beyaz,50,20,-30,1769,757,5.156020350480498,5.697490092470278
https://haldefiyat.com/hal/bursa-hal,157,129,-28,3424,2465,6.282126168224299,5.827991886409737
https://haldefiyat.com/urun/patates,194,166,-28,4378,4314,5.610552763819095,6.112424663885026
https://haldefiyat.com/urun/limon,198,173,-25,7894,7198,6.948568533063086,6.924006668519033
https://haldefiyat.com/urun/uzum,123,99,-24,4809,3143,5.5198585984612185,6.12663060769965
https://haldefiyat.com/firmalar/malatya,54,30,-24,616,429,4.603896103896104,4.515151515151516
https://haldefiyat.com/urun/sarimsak-kuru,34,13,-21,1187,600,6.025273799494524,6.755
https://haldefiyat.com/urun/barbunya-taze,38,17,-21,1128,498,6.162234042553192,6.216867469879518
https://haldefiyat.com/firmalar/adana,42,24,-18,1400,1358,7.373571428571428,7.089101620029455
https://haldefiyat.com/urun/seftali,25,8,-17,834,531,5.294964028776978,6.1035781544256125
https://haldefiyat.com/urun/mandalina,37,23,-14,2363,2234,6.264071096064325,6.165174574753805
https://haldefiyat.com/urun/salatalik,23,10,-13,1182,755,5.951776649746193,6.237086092715232
https://haldefiyat.com/hal/eskisehir-hal,39,26,-13,563,520,5.159857904085258,4.901923076923077
https://haldefiyat.com/urun/armut-santamaria,14,3,-11,145,87,4.137931034482758,4.988505747126437
https://haldefiyat.com/firmalar/kayseri,23,13,-10,498,318,6.945783132530121,6.937106918238993
https://haldefiyat.com/urun/limon-mayer,65,55,-10,1315,1993,7.24106463878327,7.366783743100853
https://haldefiyat.com/hal/mersin-hal,58,48,-10,2276,3445,8.436731107205624,7.722786647314949
https://haldefiyat.com/firmalar/izmir,26,17,-9,582,499,9.058419243986254,7.49498997995992
https://haldefiyat.com/firmalar/gaziantep,16,7,-9,737,596,7.918588873812754,8.18288590604027
https://haldefiyat.com/urun/hunnap,36,27,-9,594,505,4.572390572390573,3.871287128712871
https://haldefiyat.com/urun/kavun,18,10,-8,754,527,5.757294429708223,5.891840607210626
https://haldefiyat.com/urun/elma-starking,12,4,-8,658,477,6.834346504559271,7.568134171907757
https://haldefiyat.com/firmalar/trabzon,17,9,-8,190,223,7.673684210526316,7.654708520179372
https://haldefiyat.com/hal/corum-hal,24,16,-8,449,437,5.650334075723831,5.22883295194508
https://haldefiyat.com/urun/cilek,19,12,-7,986,918,5.629817444219067,6.070806100217865
https://haldefiyat.com/urun/marul-aysberg,9,2,-7,252,278,6.242063492063492,6
https://haldefiyat.com/urun/mantar-kultur,26,19,-7,1368,1254,5.058479532163743,5.600478468899522
https://haldefiyat.com/firmalar/batman,17,10,-7,288,283,6.819444444444445,6.3356890459363955
https://haldefiyat.com/firmalar/aksaray,9,2,-7,179,127,6.597765363128492,6.913385826771654
https://haldefiyat.com/urun/kiraz,15,8,-7,511,366,4.8101761252446185,5.46448087431694
https://haldefiyat.com/firmalar/karaman,7,1,-6,111,94,7.63963963963964,7.372340425531915
