priority,batch,type,master_slug,display_name_ham,category_slug,cluster_size,search_volume_est,notes
1,B1-cluster-master,cluster,patates,PATATES,sebze,19,8500,
2,B1-cluster-master,cluster,domates,DOMATES (...),sebze-meyve,40,8000,
3,B1-cluster-master,cluster,elma,Elma,sebze-meyve,37,7000,
4,B1-cluster-master,cluster,muz,Muz,sebze-meyve,9,6000,
5,B1-cluster-master,cluster,uzum,Üzüm,sebze-meyve,27,5000,
6,B1-cluster-master,cluster,portakal,PORTAKAL (...),sebze-meyve,20,5000,
7,B1-cluster-master,cluster,limon,LİMON,meyve,21,4500,
8,B1-cluster-master,cluster,karpuz,KARPUZ,sebze,9,4500,
9,B1-cluster-master,cluster,cilek,CILEK,meyve,5,4500,
10,B1-cluster-master,singleton,ceviz,CEVİZ,meyve,1,4500,
11,B1-cluster-master,cluster,salatalik,Salatalık*,sebze-meyve,18,4000,
12,B1-cluster-master,cluster,kiraz,KIRAZ,meyve,10,4000,
13,B1-cluster-master,cluster,mandalina,MANDALİNA,sebze-meyve,17,3500,
14,B1-cluster-master,cluster,patlican,PATLICAN,sebze-meyve,16,3500,
15,B1-cluster-master,cluster,mantar,MANTAR,sebze,5,3500,
16,B1-cluster-master,cluster,havuc,HAVUÇ,sebze,15,3000,
17,B1-cluster-master,cluster,kavun,KAVUN,sebze-meyve,13,3000,
18,B1-cluster-master,cluster,seftali,ŞEFTALI,meyve,8,3000,
19,B1-cluster-master,cluster,ispanak,ISPANAK,sebze,5,3000,
20,B1-cluster-master,cluster,armut,ARMUT ( ... ),sebze-meyve,17,2500,
21,B1-cluster-master,cluster,kabak,KABAK,sebze-meyve,17,2500,
22,B1-cluster-master,cluster,hamsi,HAMSİ,balik,8,2500,
23,B1-cluster-master,cluster,ananas,ANANAS,ithal,5,2500,
24,B1-cluster-master,cluster,nar,NAR,meyve,5,2500,
25,B1-cluster-master,cluster,fasulye,Fasulye,sebze-meyve,22,2200,
26,B1-cluster-master,cluster,kayisi,KAYISI,meyve,13,2200,
27,B1-cluster-master,cluster,kivi,KIVI,meyve,6,2200,
28,B1-cluster-master,cluster,marul,MARUL,sebze,29,2000,
29,B1-cluster-master,cluster,erik,ERİK ( ...),sebze-meyve,23,2000,
30,B1-cluster-master,cluster,incir,INCIR,meyve,5,2000,
31,B1-cluster-master,cluster,nane,NANE,sebze-meyve,5,2000,
32,B1-cluster-master,singleton,kestane,KESTANE,meyve,1,2000,
33,B1-cluster-master,cluster,lufer,LÜFER,balik,5,1800,
34,B1-cluster-master,cluster,turp,TURP,sebze-meyve,15,1500,
35,B1-cluster-master,cluster,enginar,ENGİNAR,sebze-meyve,6,1500,
36,B1-cluster-master,cluster,istavrit,İSTAVRİT,balik,5,1500,
37,B1-cluster-master,cluster,nektarin,Nektarin,meyve,5,1500,
38,B1-cluster-master,cluster,bakla,BAKLA,sebze,6,1200,
39,B1-cluster-master,cluster,biber-kil,BİBER ( KIL ),sebze,53,800,
40,B1-cluster-master,cluster,sogan-mor,SOĞAN MOR,sebze,31,800,
41,B1-cluster-master,cluster,lahana-mor,LAHANA (MOR),sebze,12,800,
42,B1-cluster-master,cluster,donuk-dil,DONUK DİL,balik-donuk,10,800,
43,B1-cluster-master,cluster,sarimsak-taze,SARIMSAK (TAZE),sebze-meyve,8,800,
44,B1-cluster-master,cluster,y-nane,Y.NANE,sebze,7,800,
