id;kategori;kurum;tur;e-posta;sehir;durum;alternatif adresler;kaynak
1;Basın;Ekonomim (eski Dünya Gazetesi);newspaper;ekonomim@nbe.com.tr;İstanbul;target;nbe@nbe.com.tr;https://www.ekonomim.com/p/kunye
2;Basın;Bloomberg HT;website;editor@bloomberght.com;İstanbul;target;adincer@bloomberght.com, asezen@bloomberght.com, bgorgu@bloomberght.com;https://www.bloomberght.com/kunye
3;Basın;Anadolu Ajansı — Ekonomi;agency;kurumsaliletisim@aa.com.tr;Ankara;target;;https://aa.com.tr/tr/p/iletisim
4;Basın;DHA — Ekonomi;agency;dhaistanbul@dha.com.tr;İstanbul;target;dhadis@dha.com.tr, dhaspor@dha.com.tr, dhayurt@dha.com.tr;https://www.dha.com.tr/
5;Basın;İHA — Ekonomi;agency;yayinyonetmeni@iha.com.tr;İstanbul;target;kurumsal@iha.com.tr, halklailiskiler@iha.com.tr;https://www.iha.com.tr/iletisim
6;Basın;Dünya Gazetesi;newspaper;dunya@dunya.com;İstanbul;target;;https://www.dunya.com/p/kunye
7;Sektör Birliği;Tarım Türk;website;tarimturk@gmail.com;;target;tarimturkdergisi@gmail.com;https://www.tarimturk.com.tr/iletisim
8;Basın;Tarımdan Haber;website;iletisim@tarimdanhaber.com;;target;yusuf@tarimdanhaber.com;https://www.tarimdanhaber.com/
11;Basın;Çiftçi TV;website;bilgi@ciftcitv.com;;target;;https://ciftcitv.com/
12;Basın;Tarım Pusulası;website;haber@tarimpusulasi.com;;target;iletisim@tarimpusulasi.com, cenap.karahan@tarimpusulasi.com, ender.karahan@tarimpusulasi.com;https://www.tarimpusulasi.com/sayfa/kunye-1
13;Basın;Antalya Körfez Gazetesi;newspaper;info@antalyakorfez.com;Antalya;target;;https://www.antalyakorfez.com/kunye
15;Basın;İzmir Ege Telgraf;newspaper;info@egetelgraf.com;İzmir;target;egetelgraf1960@gmail.com;https://www.egetelgraf.com/iletisim
16;Basın;Bursa Olay;newspaper;ekonomi@olaygazetesi.com.tr;Bursa;target;yaziisleri@olaygazetesi.com.tr, alikemalaksakal@olay.com.tr, bircanorsel@olay.com.tr;https://www.olay.com.tr/iletisim
17;Basın;Konya Yenigün;newspaper;haber@konyayenigun.com;Konya;target;;https://www.konyayenigun.com/
19;Basın;Türkiye Ziraat Odaları Birliği (TZOB);association;ziraatodalari@tzob.org.tr;Ankara;target;;https://www.tzob.org.tr/iletisim/
20;Ticaret Borsası;İstanbul Ticaret Borsası;chamber;gensek@istib.org.tr;İstanbul;target;;https://istib.org.tr/iletisim
25;Basın;Sözcü — Ekonomi;website;net@sozcu.com.tr;İstanbul;target;;https://www.sozcu.com.tr/iletisim-pg14
26;Basın;T24;website;bilgi@t24.com.tr;İstanbul;target;ankara@t24.com.tr;https://t24.com.tr/hakkimizda
29;İhracatçı Birliği;Akdeniz İhracatçı Birlikleri (AKİB);association;info@akib.org.tr;;target;;https://akib.org.tr/en/contact.html
30;İhracatçı Birliği;Uludağ İhracatçı Birlikleri (UİB);association;uludag@uib.org.tr;;target;;https://uib.org.tr/en/contact-contact-info
31;İhracatçı Birliği;Doğu Anadolu İhracatçılar Birliği (DAİB);association;bilgi@daib.org.tr;;target;;https://daib.org.tr/
32;İhracatçı Birliği;Doğu Karadeniz İhracatçılar Birliği (DKİB);association;dkib@dkib.org.tr;;target;;https://dkib.org.tr/tr/default.html
33;İhracatçı Birliği;Güneydoğu Anadolu İhracatçı Birlikleri (GAİB);association;gaib@gaib.org.tr;;target;;https://gaib.org.tr/
34;İhracatçı Birliği;Türkiye İhracatçılar Meclisi (TİM);association;tim@tim.org.tr;;target;;https://tim.org.tr/tr/
35;Kamu/Kurum;TİGEM;other;info@tigem.gov.tr;;target;;https://tigem.gov.tr/
36;Kamu/Kurum;Tarım ve Orman Bakanlığı;other;contact@tarim.gov.tr;;target;info@tarim.gov.tr, info@tarimorman.gov.tr;https://www.tarimorman.gov.tr/
37;Meslek Örgütü;TMMOB Ziraat Mühendisleri Odası;association;zmo@zmo.org.tr;;target;;https://www.zmo.org.tr/
38;Meslek Örgütü;TMMOB Gıda Mühendisleri Odası;association;gidamo@gidamo.org.tr;;target;;https://www.gidamo.org.tr/
39;Meslek Örgütü;Türkiye Tohumcular Birliği (TÜRKTOB);association;iletisim@turktob.org.tr;;target;etiket@turktob.org.tr;https://turktob.org.tr/
40;Meslek Örgütü;Tohum Sanayicileri Alt Birliği (TSÜAB);association;tsuab@tsuab.org.tr;;target;;https://www.tsuab.org.tr/
